,Rating,Title,Content,Author Name,Date,Year
0,8.0,"""This is vehicular warfare.""","I don't think many other franchises has been as turbulent and uneven as The Fast and the Furious films. Things started off pretty earnestly with Rob Cohen's first film, but quickly careened into odd directions, with the ever-cheesy 2 Fast 2 Furious taking off and running with one main character while leaving the other in the dust, and with Tokyo Drift drifting away with totally different characters altogether. Thankfully, Fast & Furious realigned the series with its roots. But it wasn't until Fast Five when I really began to give a darn about this series. Granted that all films have had their fun moments, the fifth film magically tied in every single strand from every single film, and made every single character relevant. Best of all, it did so with a great sense of fun: it had great pacing, amusing comedy, great action, and it made the characters stand out as a collectively outstanding cast.So now Fast & Furious 6 has come out, reuniting the entire gang once more to take on bigger stakes. The spectacle in this film tries its best to be even bigger, more absurd, and more awesome than before: the film is effectively book-ended with two massive action setpieces. The first involves a decently destructive car chase in London, where the villain effectively uses his custom-built ride to launch other cars all over the place. The film's final act features a really crazy sequence in which a tank roars across a highway, crushing other cars and blowing up bridges. This all culminates with all the muscle cars banding together to bring down a massive cargo plane in a fiery blaze of glory. In between, the film slows down a bit, but there's frequent fist-fights and pursuits, a few scenes of witty comedy, and there's one decent car-racing scene.Whether or not you really dig this film may depend on how well you dig the characters and all their dynamics. It definitely helps to watch and understand the events of the first five films, because at this point, they've all been through so much and changed so much; for a late-comer like me, who never was invested in the characters until the last film, it can be confusing to remember who was who and what their history was. Fortunately, the film does insert some flashbacks and reminders for the audience's benefit. If you are keeping up with things, then the film will reward you with a cast of endearing and heartfelt characters, and the film's plot generally revolves around their continuing struggles. As far as the actual plot goes, it's pretty brainless and absurd action-movie fodder, and there are plot holes to be found. However, the film does have the merit of presenting a cast of villains to directly oppose the cast of heroes, and the story pulls out a few surprising twists.The film generally looks good, but many of the action scenes are hectically shot and edited, and it can be hard to tell what's going on in certain scenes. What you can see is awesome, but sometimes, it's just aggravating. Acting is generally fun and enjoyable from the whole cast. Writing gets the job done well enough. This production uses a plethora of quality sets, props, and costumes, with loads of flashy cars at its disposal, and some okay-looking special effects. This film uses some cool hip rap and techno music, while the music score is pretty cool (sounds a lot like Brian Tyler's work from Tokyo Drift, which was one of my favorite soundtracks).Best recommended to fans of the series, especially if you've been following the last few movies.4/5 (Entertainment: Good | Story: Pretty Good | Film: Pretty Good)",Al_The_Strange,2013-05-24,2013
1,8.0,A big movie and a fun time!,"Well, this was unexpected! Going into this film I found myself with no hype at all. I expected a good, fun and cheesy movie time and I came out of the theater happy and surprised. While this isn't a masterpiece of filmmaking it does achieve what it sets out to do. To entertain you. And it does this quite good and sometimes it goes further than this by showing us some amazing set pieces and action sequences. For example one car, tank chase sequence! This is achieved by the gigantic production value of the film. You can literally smell the money that comes out of these guys. The whole movie you have this sense of scale, and I mean BIG scale! The amazing sound mixing and design including the music pumps you up and puts you in the mood! While the acting isn't Oscar worthy it is very fluid and it doesn't always feel forced. The chemistry between the cast is very solid and credible. Diesel and ""The Rock"" where pretty solid along with the secondary characters, and the villain was surprisingly tolerable. Another thing that solidifies the movie are the effects. These are outstanding along with the camera-work! The things that brought the movie down for me a little bit where some of the stunts, and weirdly some of these I found pretty amazing but although I understand this movie isn't supposed to be taken seriously there were some stunts that were just plain unbelievable, specially in the third act of the movie. And finally, the plot. While not groundbreaking it did have its interesting points but it doesn't drift away from the cheese factors. Overall I was quite surprised by what this movie did and how the director and producers exploited and used their huge production value. This is an example of a good quality action flick.",pablo2896,2013-05-24,2013
4,7.0,Movin' on up!,"While most franchises lose their steam with each succeeding sequel, the Fast and the Furious franchise is that rare exception where its later films breathe in new life into the series. Once a franchise about car racing, ""Fast Five"" took an unexpected turn as a bank heist thriller in the vein of Steven Soderbergh's ""Ocean's 11,"" a welcomed change as seen by its huge box office earnings and critical success. Now, ""Furious 6"" is neither about car racing nor bank heists, but rather a terrorist threat with obvious inspirations from ""The Dark Knight."" Like ""Fast Five,"" the results are immensely satisfying and undeniably entertaining.The key to the franchise's upward turn in quality is due to director Justin Lin. He is a skilled action director, and many filmmakers can learn a few things or two from him: The action sequences are impressive, engaging, comprehensible, and well-shot, with practical effects to boot. There is a sense of danger, verve, and life in these scenes rarely found in other films, despite how over-the-top and ridiculous they may be; and yes, they often drift into gratify-defying territory. While I usually don't react out loudly when watching a film, this film had me gasping, jaw dropping, laughing, and applauding, sometimes all at once!Another ingredient to the film's success is the chemistry between the cast members. We have grown to love these characters over the course of the series that one cannot help but cheer on for them. In particular, Tyrese Gibson and Ludicrous have such a terrific rapport with each other that they provide some of the film's biggest laughs and memorable one-liners. Additionally, Luke Evans is definitely a step up above the previous film's antagonist, and Gina Carano provides some great ass-kicking moments, although not much performance-wise. On another note, I want to mention how refreshing it is to see minority actors fill these roles. Certainly, the film's use of a diverse ensemble cast should be commended. As for the story, it's nothing special, but I dare you not to act surprised when several plot twists are revealed; I did so more than I would like to admit.If there's one thing to learn about this franchise, it's that some change can be a good thing. While the later sequels do focus away from the car racing, they still featured cars, which helped retain old fans while bringing in new ones. ""Furious 6"" is terrific entertainment, and judging by yet another dazzling cliffhanger and the audience's reaction, ""Fast & Furious 7"" will be an amazing finale for the series. Unfortunately, Justin Lin won't be back around for the last installment, but someone please get this man to direct every and all upcoming action flicks.",moviewizguy,2013-05-16,2013
6,7.0,"As if a Tank wasn't enough, they got a Plane too","Fast & Furious over the last few installments has become all about action. And the latest outing takes it a step further. Almost 20% of the movie is comprised of action sequences. And at the expense of action, plot, writing, characters all take a backseat. But no one's complaining. Why ? Because the action makes up for all of it.Do the above statements sound cliché ??? The movie's plot is full of such silly dialogs so its best ignored in the current context. What works is the action - Lin and his crew bring us some of the most ridiculously outrageous and boldly conceived action sequences. There's an intense chase through London in the initial reels and also a race later on. There's a whole plane take-off-crash sequence towards the end that you've probably got a glimpse of in the trailers. The girls are no slouches either and we see an intense hand-to-hand fight of sorts between Michelle Rodriguez's Letty and Gina Carano's Riley.But the movie's best sequence is undoubtedly the 10 minute Tank chase across the freeway that involves most of the cast and culminates in a breathtaking ""catch"" (about which I'd not say any further). The camera cuts like crazy, music is pulsating and that single sequence is probably worth the price of the movie ticket.Apart from action, Furious 6 doesn't have much going for it. Dialog is standard, at times even silly and predictable, characters are flat, performances are decent. The car chases and night scenes got me so involved, I actually felt a bit strange leaving the theater and coming out into the real world's broad daylight. And the post-credits scene is simply, a treat which makes the next installment in the series worth looking forward to. Suffice it to say that in the end, the movie drifts full circle.Watch it for the action, and for the action alone. If you expect any sort of character development or family issues like the first installment had, you'll be disappointed. Else, you're in for one hell of a ride.Score: 7 / 10",KrazzyDJ,2013-05-26,2013
8,6.0,Indeed a guy's movie...,"The faster the cars in this franchise seem to go, the more realism seems to go away with it. Sure, the action and car chases in ""Fast & Furious 6"" is breathtaking and spectacular, but the movie was just a tad over the top.I sat down to watch ""Fast & Furious 6"" simply because I had the opportunity, and because I wanted to watch it because of Michelle Rodriguez. I can't say that I had any particular hopes or expectations to this movie, nor can I claim that it was a movie release that I was in any way looking forward to.If you have seen any of the previous five movies then you know exactly what you will get here. There is nothing much new to be had here, it is essentially the same. However, that being said, then the movie is enjoyable, entertaining and fast-paced.This sixth installment to the franchise brings the return of an assumed dead member of the Toretto 'family' and it also brings the departure of one. The returning member is, of course, Letty. I am not going to reveal who will be departing - you'll just have to watch the movie for yourself and find out.As entertaining as the action was in the movie, then the last whole segment was a bit too much. I mean, a car bring down a massive Russian cargo airplane? That was just too much. And how long does it take for a plane of that size to get enough speed to become airborne? It just took forever. And speaking of forever, then that tarmac runway had to be the longest in the world - it just went on and on.As with the previous movies, then it is a great ensemble of actors and actresses, and it is as always a joy to have them returning to their parts, and there is a great chemistry between the various characters. I was especially thrilled to see Joe Taslim (playing Jah) in the movie; he did a great job in ""The Raid: Redemption"" and its great to see him make it into American cinema as well. He is definitely a guy to keep an eye on in the future.""Fast & Furious 6"" is, as the previous five movies, a guy's movie - full of adrenaline, muscle cars, car chases, macho guys and testosterone dripping off everywhere. The story was enjoyable, even with the part that went off the scale. And if you enjoyed any of the previous movies, then you definitely want to watch ""Fast & Furious 6"" as well.",paul_haakonsen,2013-09-01,2013
9,9.0,"Hail, hail the gang's all here - but now minus one","Mixed emotions his the viewer seeing FAST AND FURIOUS 6 for the first time knowing that Paul Walker is gone and wondering what will happen with the in process Fast and Furious 7. But in ways that fact makes this movie more treasured. It is a whoop-'em up fast action packed film that takes your breath away with the wild car chases and one the ground derring- do. Writer Chris Morgan and director Justin Lin have this medium down to a predictable but fine science.The plot is fairly simple (as usual) allowing the telling of the story to be more important than any big philosophical notions. Hobbs (Dwayne Johnson, with even larger biceps varices!) has Dominic Toretto (Vin Diesel) and Brian O'Connor (Paul Walker) reassemble their crew (Jordana Brewster, Tyrese Gibson, Ludicrous, Sung Kang) in order to take down mastermind Shaw (Luke Evans) who commands an organization of mercenary drivers across 12 countries. Payment? Full pardons for them all. The big driver is to 'rescue' Letty (Michelle Rodriguez), who seems to be with Shaw's group after suffering amnesia, back into their fold. Wild situations abound and they are as exciting as ever – if not more so!Definitely worth watching even for those who are not long term F & F fans. It is a terrific action film with sparkling actors having a great time. Grady Harp December 13",gradyharp,2013-12-12,2013
10,7.0,12 years after the first outing and the franchise is unrecognisable - which is a good thing,"The Fast and Furious franchise has undergone a radical transformation since launching 12 years ago, with the changes following Justin Lin taking hold of directorial duties from Tokyo Drift (film three) onwards.The series has made the transition from street races to include drugs, heists, and now terrorism, while lead characters Dom Toretto (Diesel) and Brian O'Conner (Walker) have gone from petty thug and law enforcer to wanted fugitives.With an opening sequence reminiscent of Quantum of Solace, Toretto and Brian screech around mountaintops as the latter readies himself to become a father, demonstrating how adult and family-minded they've become. Meanwhile, what follows is a nice refresher for those acquainted with the series and for newcomers alike, acting as a highlights reel to bring everyone up to speed of the events experienced in the previous five films.The antagonist for Fast 6 is Mr Owen Shaw (Evans), a former special ops military man that uses his knowledge, contacts and fast cars to make robberies for the highest bidder. In this instance, it just so happens he has his eyes on a chip that would incite terrorism in the wrong hands, which prompts baby oil-loving federal agent Hobbs (Johnson) to round up Toretto and his crew for back-up, offering them full pardons in exchange for their services.London is the main backdrop for the film, which, naturally, features a very corny cameo, though the the bright lights, black taxis and double-decker buses dotted around the city are infinitely more welcome.For me, five was the best of all of the films, but six gives it a run for its money, taking the stunts to ridiculous new heights (literally). You could, of course, reprimand the film for its use of impossible feats, but that's the whole point of these films, right? To get bigger and more extreme, as demonstrated with the big and extreme – and always affable – introduction of Johnson in Fast Five.For me, Johnson changed the game and breathed new life into a franchise that was beginning to get stale, and seeing Hobbs join forces with Toretto and co makes for brilliant viewing. The action is insane and the banter is electric, with the camaraderie between the cast obvious.The only criticism of the film is its length. There was a particular moment that seemed as though the film had wrapped, though it continued for another half hour, and while what followed was laced with adrenaline and big bangs, the film could have done with a 20 minute tightening.Shaw isn't an intimidating or imposing character, particularly when facing off against Hobbs and Toretto, but he is devious, ruthless and sharp, presenting an entirely new threat to the series.Those in the know will be aware Tokyo Drift threw the timeline entirely out of sequence, but the game comes full circle at the end of the film, and you won't want to miss the credits sequence that follows Originally posted at www.zentertainmentweekly.com7/10",zentertainmentweeklydotcom,2013-05-21,2013
11,9.0,Incredible! Thoroughly enjoyable!,"I still can't believe I am giving a 9.0 to a film that is #6 in a brainless action franchise!I am not aware of any other franchise (except maybe, strangely enough, f13) where #6 is the best of the series. Normally the energy, creativity are gone by then.Not this time.I simply cannot believe how much I enjoyed every single minute of this film!There was even a decent plot!! (hey, for a film that is basically made up of fast cars, explosions and fight scenes, that says a lot!)However, I won't go into the plot - because there are some REAL twists in it, and it is better to go in with a fresh mind.It does help if you have seen the prior 5, but no sweat if you haven't. What really pleasantly surprised me was how funny this film was!! I would say about 1/2 the film was gut splitting comedy. It is rare that most jokes work in a film. Usually some fall flat. Not in this one! every single joke worked. I laughed so hard that I know I missed some!This is really meant to be seen on the big screen with a large crowd. I can't remember the last time so many people laughed, went 'WHOA!"" and ""yeah"" even clapping during a film!The film starts off with a bang and ends with a post-ending that will make you grin from ear to ear.The film deals with criminals who are obsessed with fast cars and like to create mayhem with their cars.Wall to wall action, comedy with just the right amount of drama and love interest.This could be ""the"" measurement for the brainless-feel-good-summer- action film.The only reason I am not giving this a 10.0 is because 1) it was a little long.. the final scene was almost a movie in itself (but it was a hoot!), and 2) in general I don't think any film is perfect. In some scenes (thankfully only a few) there were too many close ups that made it a little hard to follow the action. But I am really nitpicking here, folks.If you like action, fast cars, explosions, comedy....run, don't walk to see F&F 6.(and this from a guy who has the Seventh Seal and Alexander Nevsky in his DVD collection)",fritzlang,2013-05-21,2013
13,5.0,Did the director go on holiday for the last third of the film and hand his directing duties to a 12 year old kid?,No content,carl-walster,2013-05-20,2013
14,6.0,A fun addition to the franchise,"As the Fast & Furious franchise continues with it's simple enjoyments of fast cars, well oiled muscles and sexy ladies. This film does meet expectations, and is your typical faster and bigger sequel. This time the story follows Dominic Toretto (Vin Diesel), Brian O'Conner (Paul Walker) and the gang. Who are this time not being chased but being recruited by Luke Hobbs (Dwayne Johnson). To bring down international criminal Owen Shaw (Luke Evans) who is aided by once thought of dead Letty Ortiz (Michelle Rodriguez).What is good about the film is Director's, Justin Lin's decision to keep the film in a action-oriented direction. With a slight nods to it's street racing past. But focusing on 80's big muscle, big explosions nostalgia. Also the continuing use of practical effects over CGI backgrounds and locations. Make the film look all the more impressive. The action is over the top and a little silly but i did very much enjoy it. The only poor bit being a moment where Vin Diesel's character saves someone life taking the ridiculousness a bit to far. With the ever expanding cast the writers i imagine do have their work cut out for them. But everyone in the film except Jordana Brewster who again is given the short shrift do get their moments. But some of the comedy does miss it's mark, and the return of Letty is given the thinnest and quite unoriginal of explanations for her return. Also because of the huge cast of good guys, there is a lack of development for the villains. Making it difficult for Luke Evans who is actually very good in his role, to make a strong impression and did not become the threat to the team as much as he should of. This is a fun film, so just turn off your brain and enjoy the ride and be prepared for a very decent post credit sequence hopefully setting up a possibly very exciting Fast 7.",paulsrobinson,2013-05-19,2013
